strip,channel
1,2
2,0
3,3
4,1
5,6
6,4
7,7
8,5
9,10
10,8
11,11
12,9
13,14
14,12
15,15
16,13
17,18
18,16
19,19
20,17
21,22
22,20
23,23
24,21
25,26
26,24
27,27
28,25
29,31
30,28
31,30
32,29
33,34
34,32
35,35
36,33
37,38
38,36
39,39
40,37
41,42
42,40
43,43
44,41
45,46
46,44
47,47
48,45
49,50
50,48
51,51
52,49
53,54
54,52
55,55
56,53
57,58
58,56
59,59
60,57
61,62
62,60
63,63
64,61
65,66
66,64
67,67
68,64
69,70
70,68
71,71
72,69
73,74
74,72
75,75
76,73
77,78
78,76
79,79
80,77
81,82
82,80
83,83
84,81
85,86
86,84
87,87
88,85
89,90
90,88
91,91
92,89
93,94
94,92
95,95
96,93
97,98
98,96
99,99
100,97
101,102
102,100
103,103
104,101
105,106
106,104
107,107
108,105
109,111
110,108
111,110
112,109
113,115
114,112
115,114
116,113
117,119
118,116
119,118
120,117
121,123
122,120
123,122
124,121
125,127
126,124
127,126
128,125